,mol_id,Smiles
676,1177,CC(=O)N(C1=NN(C(C)=O)C2(S1)C1CCCC2C(c2ccc(Cl)cc2)N(C(C)=O)C1c1ccc(Cl)cc1)c1ccccc1
195,1002,COC(=O)C1CCCCN(c2ccc(Cl)cc2)C1C(=O)OC
1256,514,CC(=O)N1CCN(c2nc(Oc3cccc4cccnc34)nc(Sc3nnc(-c4cc5ccccc5oc4=O)o3)n2)CC1
1165,644,CCCCCCCn1c(-c2cc(-c3ccc(Cl)cc3)nc(N)n2)nc2ccccc21
1285,180,O=C(OCc1cn(-c2ccc(OC(F)(F)F)cc2)nn1)c1cn(C2CC2)c2cc(N3CCN(Cc4cn(-c5ccc(OC(F)(F)F)cc5)nn4)CC3)c(F)cc2c1=O
544,1373,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1357,1335,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
542,1403,Cc1ncc([N+](=O)[O-])n1CCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12
1446,1408,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
977,319,CC1CC(C)CN(c2nc(Nc3ccc(C#N)c(C(F)(F)F)c3)nc(Oc3ncnc4ccccc34)n2)C1
1164,451,O=C(CCl)N1CCN(CCN2C(=O)C(Cl)C2c2ccc(O)cc2)CC1
78,215,CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(Cl)cc2Cl)cc1
634,469,Cc1cc(=O)oc2cc(Oc3nc(Nc4ccc(N5C(=O)CSC5c5cccc(F)c5)cc4)nc(N(C)C)n3)ccc12
1135,555,Cc1cc(=O)oc2cc(OCCCCCCn3cncn3)cc(OCCCCCCn3cncn3)c12
1420,1492,COc1ccc2cc3[n+](cc2c1OCc1nc2ccccc2n1Cc1ccc(F)cc1)CCc1cc2c(cc1-3)OCO2.[Cl-]
54,103,CCOC(=O)c1cn(CC(O)Cn2cncn2)c2cc(C(F)(F)F)ccc2c1=O
1488,1156,CCC(=O)NC1=NN(C(=O)CC)C2(S1)C1CCCC2C(c2ccccc2)N(C(=O)CC)C1c1ccccc1
1494,480,Cc1ccc(N(Cc2cccc(Cl)c2)Cc2nc3ccccc3[nH]2)cc1
1121,83,CCCn1c(-c2cc(OC)c(O)c3c2CC2c4cc5c(cc4CCN2C3)OCO5)nc2ccccc21
1287,259,COc1cc(-c2nc3ccccc3n2Cc2ccccc2Cl)c2c(c1O)CN1CCc3cc4c(cc3C1C2)OCO4
109,1228,Nc1nc(-c2ccc(F)cc2)cc(-c2nc3ccccc3[nH]2)n1
627,96,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
155,476,COc1ccc2cc3[n+](cc2c1OCc1nc2ccccc2[nH]1)CCc1cc2c(cc1-3)OCO2.[Cl-]
640,446,O=C1c2cccc3c(Br)ccc(c23)C(=O)N1CCCCCn1cc[n+](Cc2ccc(F)cc2F)c1.[Br-]
924,524,CCOC(=O)c1cn(CC2CO2)c2cc(Cl)ccc2c1=O
1099,1485,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1522,1491,CCCCCCCCCCn1c(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)nc2ccccc21.[Cl-]
1005,1482,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
590,396,S=C1NNC2(N1)C1CCCC2C(c2ccc(Cl)cc2)NC1c1ccc(Cl)cc1
1050,1543,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
72,1442,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
482,1507,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1183,386,N=C1C(=S)N(c2ccc(Br)cc2)C(=S)N1c1ccc(Br)cc1
950,1187,Nc1ncc(-c2cn(Cc3ccc(F)cc3)c3c(F)cc(F)cc3c2=O)s1
687,789,O=c1c2c3c(sc2nnn1-c1ccc(Cl)cc1)CCCC3
447,241,COc1ccc2cc3[n+](cc2c1OCc1nc2ccccc2n1Cc1ccccc1F)CCc1cc2c(cc1-3)OCO2.[Cl-]
659,1384,BrCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12
1112,313,N#Cc1c(-c2ccc([N+](=O)[O-])cc2)cc(-c2ccc(Nc3cc(=O)oc4ccccc34)cc2)nc1N
181,1176,C#CCOC(=O)c1cn(C2CC2)c2cc(N3CCN(CC#C)CC3)c(F)cc2c1=O
598,1437,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
632,151,CCn1cc(-c2n[nH]c(=S)n2-c2nc3ccccc3[nH]c2=O)c(=O)c2ccc(C)nc21
71,1110,CCn1cc(-c2nn(-c3nc4ccccc4[nH]c3=O)c(=S)o2)c(=O)c2ccc(C)nc21
190,327,Cc1ccc(C2SC(CN3CCN(c4ccccn4)CC3)C(=O)N2c2ccc(Nc3nc(Oc4ccc5c(C)cc(=O)oc5c4)nc(N(C)C)n3)cc2)cc1
1041,326,Cc1cc(=O)oc2cc(Oc3nc(Nc4ccc(N5C(=O)C(CN6CCN(c7ccccn7)CC6)SC5c5ccc(Cl)cc5)cc4)nc(N(C)C)n3)ccc12
816,21,COc1c(N2CCN(c3nnc(-c4ccccc4[N+](=O)[O-])s3)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
119,1167,Cc1cc(=O)oc2cc(OCCCCn3cncn3)ccc12.Cl
1333,437,CCn1c2ccc3cc2c2cc(ccc21)C(=O)c1ccc(cc1)Cn1c[n+](c2ccccc21)Cc1cc(OC)c(cc1OC)C[n+]1cn(c2ccccc21)Cc1ccc(cc1)C3=O.[Br-].[Br-]
854,421,CCn1c2ccc3cc2c2cc(ccc21)C(=O)c1ccc(cc1)Cn1c[n+](c2ccccc21)Cc1ccc(cc1)-c1cccc(c1C(=O)O)-c1ccc(cc1)C[n+]1cn(c2ccccc21)Cc1ccc(cc1)C3=O.[Br-].[Br-]
153,955,CCOC(=O)c1cn(CC2CO2)c2cc(C(F)(F)F)ccc2c1=O
1363,1025,CCC(CC)NC(=N)c1ccc2cc(-c3ccc(Oc4ccc(-c5cc6ccc(C(=N)NC(CC)CC)cc6[nH]5)cc4)cc3)[nH]c2c1
700,862,N#Cc1ccc(Nc2nc(Oc3ccnc4ccccc34)nc(N3CCN(c4ccccc4F)CC3)n2)cc1C(F)(F)F
607,32,CCOP(=O)(OCC)C(N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)P(=O)(OCC)OCC
583,1490,CCCCCn1c(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)nc2ccccc21.[Cl-]
436,706,N#Cc1ccc(Nc2nc(Oc3ccnc4ccccc34)nc(N3CCN(c4ccc(F)cc4)CC3)n2)cc1C(F)(F)F
834,1544,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
406,1107,O=c1cc(OCc2nnc(-c3ccc(Cl)cc3)[nH]2)c2ccccc2o1
1538,1548,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1534,64,CC1=C(C(=O)OC(C)C)C(c2ccc([N+](=O)[O-])cc2)NC(=O)N1
