,PC1
APC2D4_N_O,0.027200512682398845
MACCSFP127,0.027176593787583393
FP783,0.02717556606345277
ExtFP601,0.027169541294998167
PubchemFP199,0.027099140930712008
GraphFP318,0.027061678912443966
FP256,0.02703931431007222
PubchemFP418,0.027024317715102796
FP13,0.027014513538530623
FP771,0.027012787963538034
ExtFP824,0.02698692394639254
FP619,0.026976618068800466
nO,0.026965421610852667
KRFP4080,0.026955062208790303
FP574,0.026921896659359745
ExtFP859,0.026854343043757434
FP76,0.02685301341606451
FP56,0.026837776274192347
ExtFP433,0.026817675141486707
GATS8e,0.026810846648571553
GATS5m,0.02680744617447641
FP264,0.026790964936164147
MACCSFP158,0.026785863408973227
MACCSFP98,0.02677841949886958
FP782,0.026760816939814108
ExtFP659,0.026757430315577518
FP452,0.02665124138459024
FP899,0.026620875076378524
MATS1c,0.02659272873570431
GraphFP522,0.026592024424541155
ExtFP627,0.026591162227602973
GraphFP384,0.0265801672925646
KRFPC3455,0.026576596530043125
mindO,0.026562913455879612
APC2D9_C_N,0.026546137348695438
FP544,0.026516994613252888
FP129,0.026511491782353548
FP511,0.02646941313045625
FP589,0.026458454032871066
ExtFP952,0.02645751842494695
MACCSFP159,0.02645596798908293
ExtFP26,0.02645298810172484
ExtFP849,0.026435491698399916
FP265,0.026430374227704813
FP481,0.026419895281648165
AD2D704,0.02637435655968519
GATS8m,0.026367433644729814
ExtFP167,0.02633455757109416
ExtFP96,0.0263267575603547
FP663,0.026310592563074487
LipoaffinityIndex,0.026295582897181567
APC2D4_C_O,0.02627288195201592
FP622,0.02625927346816127
FP87,0.026222976906963937
FP174,0.026218804908249013
ExtFP782,0.02619877644370047
ExtFP290,0.026179302110489324
MACCSFP122,0.026153043726685216
ExtFP280,0.026152425200435397
FP29,0.026136870995572735
FP506,0.026118072728971074
ExtFP171,0.026108422713276336
ExtFP275,0.026087069915765822
nAtomP,0.026085177853595962
ExtFP329,0.026077807326387162
FP416,0.026072246473245193
PubchemFP502,0.026071204024537054
KRFP3455,0.026057232233186626
ExtFP955,0.026030797568784996
FP71,0.025981192314393983
ExtFP16,0.02596322048736395
ExtFP813,0.025939652402872902
MACCSFP111,0.025932843096707268
FP471,0.025921891345934894
FP72,0.025919897857856602
FP614,0.025870500629890263
FP434,0.025810384741299985
AD2D403,0.025785076638288877
ExtFP250,0.02577811967446936
minHCsats,0.025772109539547047
ExtFP924,0.02575410547819028
GATS4m,0.025745889990206248
KRFPC2986,0.025732471066631086
FP34,0.02572314944588259
FP639,0.02569390073653108
ExtFP515,0.025693393198564233
ExtFP805,0.0256844312877711
PubchemFP184,0.02565988262796574
GATS4c,0.025654869252777112
ExtFP76,0.025648643721378876
ExtFP98,0.025642653247356265
ExtFP845,0.025621516614910585
ExtFP74,0.025616179743263984
FP344,0.025594498831734466
ExtFP926,0.025592021984505515
FP832,0.025573775863012117
ExtFP467,0.02556385333885051
ExtFP602,0.02556083592359839
ExtFP886,0.025555062585858462
GraphFP892,0.025537259043571344
ExtFP45,0.025530085234617247
EStateFP16,0.025526293596885036
ExtFP968,0.02549764581161861
APC2D10_C_O,0.02548110903950057
FP444,0.025468573294342836
FP775,0.025456126667731047
ExtFP652,0.02545511802978386
FP86,0.025446752387818867
GraphFP808,0.025422257228345686
ExtFP728,0.025412327810987078
FP498,0.025397670046378315
ExtFP671,0.02539222878806178
FP470,0.02537921631853248
ExtFP527,0.0253461477548305
ExtFP58,0.025334021159517894
FP578,0.02533281198797528
FP757,0.025330884072837637
FP82,0.02532693450040367
ExtFP23,0.025297786867303697
ExtFP134,0.025295443819989563
ExtFP307,0.025290051298316518
MACCSFP152,0.025276794633904864
FP958,0.025267032271750887
FP48,0.025237369725163127
FP1016,0.02518525027262162
ExtFP960,0.02518501458713723
ExtFP843,0.025115516923253842
ExtFP447,0.025054566980280378
ExtFP589,0.025040152494838205
FP762,0.02499930276969199
FP678,0.024994306480336053
FP839,0.02495543825353307
ExtFP117,0.024947663438432934
ExtFP893,0.02494509920672547
EStateFP29,0.02494011473868592
ExtFP279,0.024913593901278123
ExtFP409,0.024883768209452078
FP267,0.02487301364252403
FP168,0.02484856789273801
FP374,0.024848560635637684
ExtFP441,0.024847453473446662
PubchemFP16,0.024837111483315417
FP798,0.024836001180168397
ExtFP340,0.024834496400027606
KRFP3882,0.02481903265343966
MACCSFP144,0.02480004449367355
FP970,0.02478614059283307
FP932,0.024785074547310496
ExtFP898,0.02478007595417681
GraphFP817,0.024778061330403795
ExtFP649,0.02477543659470237
FP563,0.024768390382726314
FP997,0.024753455026305757
GraphFP319,0.024752636956162644
FP770,0.024738837644318036
FP249,0.024727420852416155
MACCSFP135,0.024727353786179282
FP157,0.024715423284632478
GATS7m,0.024707485657385404
ExtFP838,0.024699462999646607
SubFP287,0.024680987212909882
FP950,0.024669717738909035
ExtFP444,0.024665760072791486
nRotB,0.024645957935614315
ExtFP339,0.024645928395835213
ExtFP456,0.024636604815233287
FP569,0.0245799309350063
ExtFP459,0.024566880216381665
AATS7m,0.024552007095827732
GraphFP690,0.02454996226280657
FP621,0.024535993950204022
ExtFP819,0.024530281877666857
ExtFP623,0.02451489652217431
FP143,0.024474697119422392
FP964,0.024445682929488278
ExtFP406,0.024423618558640083
ExtFP947,0.024412258422644755
ExtFP405,0.024400877306926024
ExtFP985,0.024388585739852125
GraphFP929,0.02435639154386459
FP85,0.024344585785160903
ExtFP941,0.02433763878884761
FP648,0.0243195166238369
FP864,0.024302369262616596
FP6,0.02428528458217246
FP727,0.024284246719841425
EStateFP13,0.024273049975814084
APC2D6_C_O,0.024263125033433756
ExtFP212,0.024262729957228057
ExtFP476,0.024236237392639116
ExtFP807,0.024230506011772523
APC2D10_C_N,0.024229712150641455
FP380,0.024214111294123097
ExtFP374,0.02420808011634914
ExtFP788,0.024202090529408606
MACCSFP157,0.024199123843324125
FP987,0.024194415600452553
FP236,0.02416050550688404
FP384,0.02415992498802742
FP323,0.024144599349751474
FP485,0.024140130200443564
FP438,0.024131501639901288
ExtFP666,0.02411720408880751
ExtFP393,0.024115304079865063
FP342,0.024095329963521716
PubchemFP696,0.02407872146306591
FP155,0.0240716542492655
ExtFP881,0.024071030478952024
FP442,0.024064172339572136
ExtFP762,0.024063952058196687
nHCsatu,0.024037666981212298
FP78,0.024027891631704722
FP340,0.024012498194190893
nF10Ring,0.02399273183221102
FP873,0.023987037462547132
ExtFP363,0.02397636816783819
GraphFP733,0.023973423169232677
FP253,0.023966751513676946
ExtFP223,0.023946170462200468
FP503,0.023935740661288285
ExtFP697,0.0239254121611432
ExtFP239,0.023920222095063396
ExtFP615,0.023914807277428295
ExtFP321,0.023897545697229104
ExtFP72,0.02388400173034813
FP761,0.023879043556876024
FP408,0.023873881356548915
ExtFP432,0.023854118785047916
KRFPC3058,0.02385402428464839
ExtFP591,0.023829316381600848
GraphFP637,0.023821331719461086
FP285,0.02379499431329394
FP497,0.023793820621892024
FP716,0.023782732000314177
ExtFP664,0.02377602520541429
MACCSFP50,0.023776012460346965
ExtFP683,0.023751591611064878
minHCsatu,0.023743129219553218
ExtFP95,0.02371731804392146
FP989,0.02370806562638902
KRFP3773,0.023692919061846895
ExtFP812,0.023680784507328533
FP833,0.02367920214096921
ExtFP641,0.023661817365654824
PubchemFP206,0.02364687930203014
ExtFP176,0.023640269461118708
FP487,0.02363195692985513
FP505,0.023624812780902883
FP107,0.023624210529803968
FP300,0.02360866224287664
GraphFP728,0.0236011237104768
minssO,0.023581564432183566
FP102,0.02358103208851967
ExtFP883,0.023573489772807328
ExtFP794,0.02354882939810304
MACCSFP26,0.023538229192133473
ExtFP756,0.02353507083326709
ExtFP663,0.023527912259408347
ExtFP747,0.023520717759862936
GraphFP122,0.023507854098452234
ExtFP510,0.023492035124330873
FP847,0.02345744964646914
FP291,0.023441684645731823
FP884,0.023419449505107638
ExtFP347,0.023411712201679664
ExtFP611,0.023390401313490742
FP91,0.023378423886759026
ExtFP389,0.023363912550561444
GraphFP816,0.02335822228116811
FP116,0.02332733676328916
ExtFP388,0.02332118185575801
ExtFP221,0.02332086223866502
ExtFP27,0.02331760991077451
FP178,0.023306672902400013
ExtFP791,0.023293702358496992
GraphFP691,0.023287853513342057
GraphFP898,0.023276269043435382
ExtFP917,0.02327561798886856
ExtFP694,0.02327556506667959
FP580,0.023275175929500232
ExtFP488,0.023268333885208162
ExtFP428,0.023260484047744147
ExtFP571,0.023259881840169874
ExtFP269,0.023225136043742732
ExtFP169,0.023222533504983746
FP802,0.023222009529329627
ExtFP475,0.023219642477389942
ExtFP481,0.023198616197672602
ExtFP566,0.023197798849735135
PubchemFP182,0.023179640584978973
FP70,0.023179574146711446
ExtFP552,0.023179161189278808
FP455,0.02315680186513783
FP10,0.023152895826477442
FP980,0.023152269718600203
FP12,0.023121769280549608
GraphFP965,0.023116228417917706
KRFP3150,0.02311618442757501
C3SP2,0.023114694166134753
ExtFP653,0.02310471010820159
FP998,0.02310300802065785
FP720,0.023085729199065676
FP176,0.023081326370441177
ExtFP114,0.02307726539163784
