,Feature,Importance
2211,ExtFP868,0.0008563126597506846
329,JGI9,0.0008551156498472028
1189,FP861,0.0008510556186426826
1066,FP736,0.0008436798140272088
1208,FP880,0.0008376535317126172
321,JGI1,0.0008359589231286027
506,FP173,0.0008356210591710905
327,JGI7,0.0008309481407393271
610,FP278,0.0008228821152960422
1166,FP838,0.0008202245954547604
1261,FP933,0.0008194410974424481
2070,ExtFP725,0.0008191110061644933
3431,AD2D708,0.0008190624319696505
908,FP578,0.0008178577962476766
123,AATSC5e,0.000815969751943662
954,FP624,0.0008110563757824997
1359,ExtFP8,0.0008091438851093931
232,C1SP2,0.0008087235244705124
113,AATSC1m,0.0008079003182175217
1469,ExtFP119,0.0008067614906376471
1461,ExtFP111,0.0008062249949644002
905,FP574,0.0008046616590722012
119,AATSC5v,0.0008034952297468102
47,AATS1s,0.0007984264034463156
245,SC-5,0.0007959033991930434
1432,ExtFP82,0.0007859610684656903
2483,GraphFP144,0.0007807234904316914
653,FP321,0.0007767076099810945
1853,ExtFP505,0.0007685856334988862
2848,GraphFP552,0.0007679460209020473
295,nAtomLC,0.0007668060484555699
1540,ExtFP191,0.0007648744758912796
140,MATS2m,0.0007645690740051503
1176,FP848,0.0007637804217876986
1821,ExtFP473,0.0007569061588658142
3103,GraphFP853,0.0007527851739653083
1130,FP802,0.0007511184307339755
972,FP642,0.0007494940875780012
1197,FP869,0.0007458768247243192
1730,ExtFP382,0.0007417389070483712
524,FP191,0.0007343455307772212
54,AATS8s,0.0007342920290890128
1454,ExtFP104,0.0007335832645377617
3086,GraphFP833,0.0007333425499140507
2597,GraphFP269,0.0007305197550720322
2257,ExtFP915,0.0007304477122401897
1688,ExtFP340,0.0007280602426186271
267,ETA_dEpsilon_B,0.0007257056218633604
2327,ExtFP986,0.0007247682464450764
3,nN,0.0007226056509520476
1531,ExtFP181,0.0007214507340742167
1691,ExtFP343,0.0007207645046046472
368,FP35,0.0007170145294562939
212,VR3_DzZ,0.0007162259329039017
2540,GraphFP205,0.0007156433778437529
697,FP365,0.0007138297025170118
299,MDEC-12,0.0007136125623971945
1513,ExtFP163,0.0007105931184757535
2265,ExtFP923,0.0007005433003230297
1723,ExtFP375,0.0006989939919705447
1987,ExtFP641,0.0006954654082785193
2994,GraphFP723,0.000693141550026992
1441,ExtFP91,0.0006919567925732767
1015,FP685,0.000690786185667566
706,FP374,0.0006898977686105708
478,FP145,0.0006865176864407401
179,GATS4e,0.0006836249512085123
1456,ExtFP106,0.0006835355230704546
2014,ExtFP668,0.00068284345973103
2324,ExtFP983,0.0006783513171179058
2081,ExtFP737,0.0006764521019696701
796,FP465,0.0006759604120384383
2195,ExtFP852,0.0006730923226126881
1872,ExtFP524,0.000667916751761923
126,AATSC8e,0.0006668067352315106
1442,ExtFP92,0.0006659325331898826
